Date,Q,Conductivity,NO3,Temp,Turbidity,Level,Dayofweek,Month
2019-01-01,318.0670785666667,54.446041666666666,0.15095833333333333,25.855416666666667,7.564375000000001,15.80397916625,1.0,1.0
2019-01-02,249.98991785833334,64.315625,0.15895833333333334,26.44395833333333,6.9775,15.626612102916667,2.0,1.0
2019-01-03,196.128066675,68.08854166666667,0.14777083333333332,26.703541666666666,6.779583333333334,15.459924603333334,3.0,1.0
2019-01-04,145.32717976208332,72.58666666666666,0.14483333333333334,26.727708333333336,6.270208333333334,15.29884623,4.0,1.0
2019-01-05,112.57894082374999,81.704375,0.14995833333333333,26.984791666666666,6.3758333333333335,15.232388889166666,5.0,1.0
2019-01-06,90.146280951625,87.85541666666667,0.15012499999999998,27.1375,7.142916666666667,15.161863095416665,6.0,1.0
2019-01-07,76.446333336125,91.44999999999999,0.15075,27.238125,5.854166666666667,15.10876984125,0.0,1.0
2019-01-08,61.76626388470834,90.83437500000001,0.1485625,27.64375,4.42875,15.107113095833334,1.0,1.0
2019-01-09,50.20131805691667,91.37354166666667,0.14560416666666667,28.08875,3.934791666666667,15.08956746,2.0,1.0
2019-01-10,47.511604167083334,89.80687499999999,0.14197916666666666,28.44458333333333,3.4077083333333333,15.054681547916667,3.0,1.0
2019-01-11,51.61562638933333,87.61708333333333,0.14454166666666665,27.798125,3.9975,15.014983135,4.0,1.0
2019-01-12,69.68724999875,84.388125,0.15522916666666667,26.782083333333333,6.6031249999999995,15.06048611125,5.0,1.0
2019-01-13,53.25941666625,75.80458333333333,0.14758333333333332,26.371875,4.580625,15.096347222083333,6.0,1.0
2019-01-14,86.53313194166667,78.71291666666666,0.17279166666666665,26.460416666666664,6.635625,15.2057103175,0.0,1.0
2019-01-15,166.970972225,68.05,0.14412499999999998,25.631249999999998,15.17375,15.320470237499999,1.0,1.0
2019-01-16,147.42364584041667,63.84,0.1880625,25.925,10.06875,15.291952381249999,2.0,1.0
2019-01-17,96.17670833083332,71.91437499999999,0.17900000000000002,26.416875,8.3775,15.208462301666666,3.0,1.0
2019-01-18,72.23301349166667,85.6175,0.17874999999999996,26.255416666666665,5.123541666666667,15.2056646825,4.0,1.0
2019-01-19,145.97271210829166,76.55624999999999,0.1406875,25.573958333333334,16.828125,15.343826389583333,5.0,1.0
2019-01-20,143.38072421291668,62.04604166666667,0.18612499999999998,25.55333333333333,11.813333333333333,15.436554564166668,6.0,1.0
2019-01-21,105.46994395016667,237.05979166666668,0.16564583333333333,26.008124999999996,6.339791666666667,15.416439483749999,0.0,1.0
2019-01-22,86.66622123,255.18875,0.15393749999999998,25.83666666666667,4.66375,15.34274603125,1.0,1.0
2019-01-23,88.83819484679167,160.19479166666667,0.15843749999999998,25.702916666666667,4.017291666666667,15.294147817499999,2.0,1.0
2019-01-24,124.49156945304166,79.72875,0.127375,25.3025,5.934375,15.253335317083334,3.0,1.0
2019-01-25,150.67474166,74.60875,0.1531875,25.2625,9.021875,15.259700396249999,4.0,1.0
2019-01-26,277.2194444333333,61.637499999999996,0.132125,24.367500000000003,19.291875,15.6171597225,5.0,1.0
2019-01-27,505.9896736125,38.7302414775,0.09381250000000001,24.29433238625,22.628849431666666,16.321875000000002,6.0,1.0
2019-01-28,599.8577033791667,34.40551136333333,0.09787499999999999,24.917556817916665,14.271534090833333,16.727291666666666,0.0,1.0
2019-01-29,426.63497917083333,38.171875,0.132875,25.509375000000002,12.850625,16.082777777916665,1.0,1.0
2019-01-30,355.8977083291666,41.93823863666667,0.1305625,26.101193182083335,11.429715909166667,15.87045138875,2.0,1.0
2019-01-31,356.48260913333337,45.28330018916666,0.12712500000000002,26.392334280416666,9.793233901458335,15.9064097225,3.0,1.0
2019-02-01,352.5901666625,44.40166666666667,0.12704166666666666,25.780416666666667,9.71875,15.944243055416665,4.0,2.0
2019-02-02,307.26263095,45.087916666666665,0.13325,25.850416666666664,10.03,15.823951388749999,5.0,2.0
2019-02-03,257.0458611083333,47.28875,0.13758333333333334,26.142083333333332,7.3687499999999995,15.677965277916668,6.0,2.0
2019-02-04,226.29306250416667,47.76291666666666,0.128875,26.16875,6.953749999999999,15.598256944583333,0.0,2.0
2019-02-05,192.26516270416667,51.64791666666667,0.14016666666666666,26.482083333333335,6.255,15.476792658333332,1.0,2.0
2019-02-06,165.0047252,54.70791666666667,0.13762499999999997,26.79375,6.365416666666667,15.376966269999999,2.0,2.0
2019-02-07,139.76145833166666,56.92625,0.14429166666666665,26.83791666666667,5.807083333333334,15.311312500833333,3.0,2.0
2019-02-08,138.25864880541667,56.65416666666667,0.15258333333333332,26.527916666666666,7.517083333333333,15.33682638875,4.0,2.0
2019-02-09,185.06897818333334,52.83416666666667,0.12966666666666668,25.689999999999998,13.4825,15.374902777916667,5.0,2.0
2019-02-10,153.5596180625,51.65875,0.13941666666666666,26.14125,8.025,15.259631944166665,6.0,2.0
2019-02-11,126.02715278458334,60.90416666666667,0.14024999999999999,26.99791666666667,5.20125,15.13326388875,0.0,2.0
2019-02-12,105.006041665,58.29083333333333,0.14625,27.224999999999998,4.59,15.104409722083332,1.0,2.0
2019-02-13,91.43004167208333,64.45166666666667,0.14933333333333332,27.178749999999997,4.6937500000000005,15.066416666666667,2.0,2.0
2019-02-14,77.2217083375,67.23708333333333,0.14975,27.175833333333333,4.30375,15.075006944583334,3.0,2.0
2019-02-15,67.18085416279166,69.22041666666667,0.149375,27.55,4.7058333333333335,15.11943254,4.0,2.0
2019-02-16,57.929738422083325,74.97791666666667,0.146,27.519583333333333,5.15375,15.157078373333334,5.0,2.0
