Day,Water_discharge,Conductivity,NO3,Temp,Turbidity,Level,Dayofweek,Month
2017-01-01,23.040154761904763,13203.35294117647,,,0.4647058823529412,10.116645833333333,6.0,1.0
2017-01-02,24.957083333333333,11327.111111111111,,,0.06666666666666667,10.089131944444444,0.0,1.0
2017-01-03,47.738902777777774,5336.611111111111,,,46.75,10.090840277777778,1.0,1.0
2017-01-04,15.662193055555557,459.7647058823529,,,58.42941176470588,10.107708333333333,2.0,1.0
2017-01-05,31.799613333333333,239.0772727272727,,,12.918181818181818,10.181069444444445,3.0,1.0
2017-01-06,30.534900980392155,113.45,,,8.549999999999999,10.270888888888889,4.0,1.0
2017-01-07,43.8695701754386,136.23636363636362,,,19.686363636363637,10.349319444444445,5.0,1.0
2017-01-08,87.5866875,74.12608695652175,,,62.72608695652174,10.499638888888889,6.0,1.0
2017-01-09,47.11349166666667,165.58636363636364,,,13.272727272727273,10.583527777777777,0.0,1.0
2017-01-10,139.78618333333333,152.1,,,60.130434782608695,10.792979166666667,1.0,1.0
2017-01-11,353.3582152777778,46.30869565217391,,,75.30869565217391,11.313270833333334,2.0,1.0
2017-01-12,174.5538388888889,54.160869565217396,,,22.317391304347826,10.872833333333332,3.0,1.0
2017-01-13,96.743285,75.39166666666667,,,8.941666666666666,10.574486111111112,4.0,1.0
2017-01-14,61.11922291666667,116.32380952380953,,,7.742857142857143,10.379680555555556,5.0,1.0
2017-01-15,62.0704,131.76500000000001,,,17.794999999999998,10.278430555555556,6.0,1.0
2017-01-16,59.61742857142857,77.685,,,19.044999999999998,10.205409722222223,0.0,1.0
2017-01-17,57.16767948717949,76.44090909090909,,,15.672727272727274,10.159006944444444,1.0,1.0
2017-01-18,93.5707192982456,64.625,,,33.85,10.236465277777777,2.0,1.0
2017-01-19,54.08406960784314,71.68181818181819,,,6.445454545454546,10.191833333333333,3.0,1.0
2017-01-20,38.9255875,79.86190476190475,,,2.1095238095238096,10.169381944444444,4.0,1.0
2017-01-21,30.13134,95.99473684210527,,,1.7947368421052632,10.151104166666666,5.0,1.0
2017-01-22,25.21618888888889,116.02000000000001,,,1.165,10.157472222222223,6.0,1.0
2017-01-23,21.700116666666666,145.4157894736842,,,0.1631578947368421,10.188645833333334,0.0,1.0
2017-01-24,15.208651041666663,212.70999999999998,,,0.27999999999999997,10.247701388888888,1.0,1.0
2017-01-25,19.882987500000002,578.265,,,0.64,10.296895833333334,2.0,1.0
2017-01-26,20.38620416666667,1119.0111111111112,,,0.2833333333333333,10.297638888888889,3.0,1.0
2017-01-27,17.27610625,1414.9352941176471,,,0.9294117647058824,10.3036875,4.0,1.0
2017-01-28,8.601088888888892,1841.5888888888887,,,0.9388888888888888,10.285388888888889,5.0,1.0
2017-01-29,14.677302222222222,2339.7944444444447,,,0.7833333333333333,10.299222222222221,6.0,1.0
2017-01-30,10.180739583333333,2300.5736842105266,,,0.2631578947368421,10.315319444444444,0.0,1.0
2017-01-31,19.74002916666667,1488.9850000000001,,,0.325,10.34811111111111,1.0,1.0
2017-02-01,134.745005,69.94285714285714,,,21.566666666666666,10.471027777777778,2.0,2.0
2017-02-02,214.30263194444444,39.729166666666664,,,40.708333333333336,10.871371527777777,3.0,2.0
2017-02-03,125.95083333333334,49.49130434782609,,,18.26086956521739,10.461673611111111,4.0,2.0
2017-02-04,313.2940902777778,38.020833333333336,,,68.40833333333333,10.961402777777778,5.0,2.0
2017-02-05,377.86337499999996,38.0,,,41.19130434782608,11.221874999999999,6.0,2.0
2017-02-06,354.6822847222222,43.145833333333336,,,22.708333333333332,11.241215277777778,0.0,2.0
2017-02-07,172.64402777777775,50.22083333333333,,,8.954166666666667,10.77395138888889,1.0,2.0
2017-02-08,127.74280555555555,52.5695652173913,,,7.321739130434783,10.695124999999999,2.0,2.0
2017-02-09,110.00787301587302,55.8125,,,9.174999999999999,10.698368055555555,3.0,2.0
2017-02-10,118.62546031746032,51.25416666666666,,,8.529166666666667,10.72076388888889,4.0,2.0
2017-02-11,97.58728916666666,55.7875,,,7.991666666666667,10.633090277777777,5.0,2.0
2017-02-12,81.55922592592593,63.875,,,7.920833333333333,10.502402777777778,6.0,2.0
2017-02-13,66.9036568627451,66.1590909090909,,,5.281818181818182,10.371986111111111,0.0,2.0
2017-02-14,56.97602916666666,63.309090909090905,,,5.490909090909091,10.256104166666667,1.0,2.0
2017-02-15,52.84298888888889,61.356521739130436,,,2.0695652173913044,10.219819444444445,2.0,2.0
2017-02-16,87.1472920289855,50.270833333333336,,,19.099999999999998,10.324319444444443,3.0,2.0
2017-02-17,144.65839583333334,44.77391304347826,,,33.92173913043478,10.416736111111112,4.0,2.0
2017-02-18,90.08920476190477,51.275,,,15.212499999999999,10.302465277777777,5.0,2.0
2017-02-19,67.10409912280701,59.166666666666664,,,5.675,10.248770833333333,6.0,2.0
2017-02-20,53.0328625,62.75217391304348,,,4.669565217391304,10.232111111111111,0.0,2.0
2017-02-21,61.867808823529415,64.5,,,9.481818181818182,10.24467361111111,1.0,2.0
2017-02-22,121.96126136363637,40.950476190476195,,,57.030952380952385,10.4785625,2.0,2.0
2017-02-23,49.53561111111111,58.082608695652176,,,7.7995652173913035,10.417131944444444,3.0,2.0
2017-02-24,55.1819649122807,67.75857142857143,,,9.061904761904762,10.508180555555557,4.0,2.0
2017-02-25,105.67466666666667,48.10478260869566,,,25.827391304347824,10.658784722222222,5.0,2.0
2017-02-26,114.15828472222222,43.24304347826087,,,19.741304347826087,10.793180555555557,6.0,2.0
