Date time,Max temp,Min temp
2017-07-05,27.5,19.2
2017-07-06,27.3,17.8
2017-07-07,27.8,16.8
2017-07-08,27.4,16.2
2017-07-09,27.2,16.8
2017-07-10,28.0,20.2
2017-07-11,28.0,22.0
2017-07-12,27.7,21.5
2017-07-13,25.4,20.2
2017-07-14,26.3,19.2
2017-07-15,26.2,19.1
2017-07-16,27.2,16.4
2017-07-17,27.3,15.3
2017-07-18,27.2,16.1
2017-07-19,28.7,17.4
2017-07-20,26.5,14.5
2017-07-21,25.6,15.0
2017-07-22,26.6,16.8
2017-07-23,26.7,17.3
2017-07-24,26.9,17.4
2017-07-25,26.5,18.9
2017-07-26,22.4,19.4
2017-07-27,24.3,19.3
2017-07-28,26.5,19.4
2017-07-29,26.0,20.1
2017-07-30,26.7,17.0
2017-07-31,26.4,17.1
2017-08-01,27.1,17.8
2017-08-02,27.7,17.3
2017-08-03,28.1,16.9
2017-08-04,27.3,20.9
2017-08-05,28.0,19.2
2017-08-06,28.4,21.3
2017-08-07,29.4,18.9
2017-08-08,28.8,20.7
2017-08-09,27.0,18.4
2017-08-10,27.7,16.7
2017-08-11,27.7,18.1
2017-08-12,28.2,15.8
2017-08-13,27.7,17.0
2017-08-14,27.9,15.0
2017-08-15,27.7,15.0
2017-08-16,28.1,14.8
2017-08-17,29.1,16.0
2017-08-18,29.2,15.9
2017-08-19,30.6,15.0
2017-08-20,27.7,16.7
2017-08-21,26.2,14.8
2017-08-22,28.4,13.1
2017-08-23,28.2,16.4
2017-08-24,28.2,15.8
2017-08-25,28.3,15.8
2017-08-26,28.1,15.5
2017-08-27,27.4,17.7
2017-08-28,27.9,15.3
2017-08-29,28.2,15.2
2017-08-30,28.2,14.9
2017-08-31,28.2,13.9
2017-09-01,26.9,17.4
2017-09-02,28.2,19.6
2017-09-03,27.7,16.7
2017-09-04,29.0,16.0
2017-09-05,30.8,13.2
2017-09-06,30.6,14.0
2017-09-07,29.2,15.1
2017-09-08,28.6,16.2
2017-09-09,27.9,15.8
2017-09-10,27.9,15.9
2017-09-11,28.8,17.3
2017-09-12,29.0,20.8
2017-09-13,29.5,18.0
2017-09-14,29.5,20.5
2017-09-15,28.4,18.4
2017-09-16,28.7,21.1
2017-09-17,29.6,17.2
2017-09-18,28.5,20.4
2017-09-19,24.4,21.6
2017-09-20,28.3,19.9
2017-09-21,30.1,17.1
2017-09-22,29.7,18.9
2017-09-23,28.9,18.6
2017-09-24,28.5,17.9
2017-09-25,29.6,16.8
2017-09-26,29.6,17.8
2017-09-27,29.5,18.7
2017-09-28,29.3,18.1
2017-09-29,29.5,18.5
2017-09-30,29.4,18.1
2017-10-01,29.7,20.5
2017-10-02,30.0,22.3
2017-10-03,30.3,20.0
2017-10-04,31.0,19.9
2017-10-05,31.0,23.8
2017-10-06,30.8,23.7
2017-10-07,30.3,20.7
2017-10-08,31.4,22.3
2017-10-09,30.5,22.2
2017-10-10,30.2,19.1
2017-10-11,30.3,19.6
2017-10-12,30.8,21.2
2017-10-13,31.8,20.8
2017-10-14,30.9,21.3
2017-10-15,32.0,22.2
2017-10-16,28.2,20.5
2017-10-17,25.3,21.7
2017-10-18,29.1,20.2
2017-10-19,26.0,18.6
2017-10-20,27.1,19.2
2017-10-21,28.0,22.3
2017-10-22,26.9,20.7
2017-10-23,30.4,20.7
2017-10-24,30.0,20.2
2017-10-25,29.4,19.0
2017-10-26,30.1,18.0
2017-10-27,28.4,16.9
2017-10-28,30.7,17.0
2017-10-29,30.8,18.9
2017-10-30,30.9,21.5
2017-10-31,31.3,24.3
2017-11-01,30.6,23.1
2017-11-02,30.9,22.8
2017-11-03,30.5,22.9
2017-11-04,30.8,22.0
2017-11-05,30.9,20.0
2017-11-06,30.6,22.3
2017-11-07,32.9,19.2
2017-11-08,32.2,21.1
2017-11-09,30.3,24.3
2017-11-10,27.9,22.0
2017-11-11,28.6,21.1
2017-11-12,29.1,21.0
2017-11-13,29.0,21.1
2017-11-14,28.4,21.7
2017-11-15,30.1,21.0
2017-11-16,29.9,21.9
2017-11-17,30.0,22.3
2017-11-18,30.4,21.2
2017-11-19,30.9,22.6
2017-11-20,29.7,23.4
2017-11-21,30.0,22.0
2017-11-22,29.0,21.5
2017-11-23,29.7,22.0
2017-11-24,30.7,22.4
2017-11-25,30.8,22.8
2017-11-26,31.0,20.2
2017-11-27,30.5,19.7
2017-11-28,30.6,22.3
2017-11-29,31.8,22.6
2017-11-30,32.1,23.3
2017-12-01,32.1,24.0
2017-12-02,33.2,23.1
2017-12-03,32.1,23.5
2017-12-04,32.8,23.7
2017-12-05,33.5,22.2
2017-12-06,32.4,20.7
2017-12-07,32.5,22.0
2017-12-08,32.6,24.0
2017-12-09,32.3,24.0
2017-12-10,32.7,22.6
2017-12-11,31.9,23.7
2017-12-12,32.4,21.1
2017-12-13,31.7,21.0
2017-12-14,32.5,19.6
2017-12-15,33.0,20.4
2017-12-16,33.2,21.5
2017-12-17,31.7,22.2
2017-12-18,31.6,21.6
2017-12-19,32.7,21.7
2017-12-20,32.0,21.6
