Date time,Amount
2017-Oct-19,234
2017-Oct-20,28
2017-Oct-21,10
2017-Oct-22,21
2017-Oct-23,10
2017-Oct-24,0
2017-Oct-25,0
2017-Oct-26,0
2017-Oct-27,0
2017-Oct-28,0
2017-Oct-29,0
2017-Oct-30,0
2017-Oct-31,0.2
2017-Nov-1,0
2017-Nov-2,0
2017-Nov-3,0
2017-Nov-4,0
2017-Nov-5,0
2017-Nov-6,2
2017-Nov-7,0
2017-Nov-8,0
2017-Nov-9,8
2017-Nov-10,89
2017-Nov-11,35
2017-Nov-12,11
2017-Nov-13,18
2017-Nov-14,18
2017-Nov-15,11
2017-Nov-16,2
2017-Nov-17,3
2017-Nov-18,0
2017-Nov-19,0.6
2017-Nov-20,1
2017-Nov-21,17
2017-Nov-22,24
2017-Nov-23,18
2017-Nov-24,3
2017-Nov-25,0.2
2017-Nov-26,0
2017-Nov-27,0
2017-Nov-28,9
2017-Nov-29,4
2017-Nov-30,0
2017-Dec-1,13
2017-Dec-2,4
2017-Dec-3,0
2017-Dec-4,1
2017-Dec-5,6
2017-Dec-6,0
2017-Dec-7,0
2017-Dec-8,0
2017-Dec-9,0
2017-Dec-10,0
2017-Dec-11,0
2017-Dec-12,0
2017-Dec-13,0.4
2017-Dec-14,3
2017-Dec-15,0
2017-Dec-16,0
2017-Dec-17,20
2017-Dec-18,7
2017-Dec-19,0.2
2017-Dec-20,0
2017-Dec-21,0
2017-Dec-22,0.2
2017-Dec-23,6
2017-Dec-24,0
2017-Dec-25,0
2017-Dec-26,0
2017-Dec-27,0
2017-Dec-28,0
2017-Dec-29,0
2017-Dec-30,0
2017-Dec-31,0
2018-Jan-1,0
2018-Jan-2,0
2018-Jan-3,0
2018-Jan-4,0
2018-Jan-5,8
2018-Jan-6,61
2018-Jan-7,7
2018-Jan-8,4
2018-Jan-9,16
2018-Jan-10,58
2018-Jan-11,4
2018-Jan-12,20
2018-Jan-13,1.2
2018-Jan-14,0
2018-Jan-15,0
2018-Jan-16,64
2018-Jan-17,243
2018-Jan-18,4
2018-Jan-19,?
2018-Jan-20,32
2018-Jan-21,17
2018-Jan-22,1.4
2018-Jan-23,1
2018-Jan-24,66
2018-Jan-25,118
2018-Jan-26,113
2018-Jan-27,31
2018-Jan-28,33
2018-Jan-29,4
2018-Jan-30,0
2018-Jan-31,0
2018-Feb-1,0
2018-Feb-2,0
2018-Feb-3,0
2018-Feb-4,0
2018-Feb-5,153
2018-Feb-6,192
2018-Feb-7,97
2018-Feb-8,10
2018-Feb-9,16
2018-Feb-10,2
2018-Feb-11,0
2018-Feb-12,0
2018-Feb-13,0
2018-Feb-14,0
2018-Feb-15,0
2018-Feb-16,0
2018-Feb-17,0
2018-Feb-18,12
2018-Feb-19,0
2018-Feb-20,0
2018-Feb-21,0
2018-Feb-22,52
2018-Feb-23,0
2018-Feb-24,49
2018-Feb-25,39
2018-Feb-26,17
2018-Feb-27,3
2018-Feb-28,11
2018-Mar-1,13
2018-Mar-2,68
2018-Mar-3,1.6
2018-Mar-4,0.2
2018-Mar-5,7
2018-Mar-6,0.2
2018-Mar-7,69
2018-Mar-8,191
2018-Mar-9,181
2018-Mar-10,198
2018-Mar-11,6
2018-Mar-12,20
2018-Mar-13,19
2018-Mar-14,8
2018-Mar-15,0
2018-Mar-16,0
2018-Mar-17,0
2018-Mar-18,20
2018-Mar-19,24
2018-Mar-20,5
2018-Mar-21,30
2018-Mar-22,26
2018-Mar-23,75
2018-Mar-24,18
2018-Mar-25,81
2018-Mar-26,195
2018-Mar-27,117
2018-Mar-28,30
2018-Mar-29,28
2018-Mar-30,0
2018-Mar-31,0
2018-Apr-1,9
2018-Apr-2,34
2018-Apr-3,5
2018-Apr-4,0
2018-Apr-5,0
2018-Apr-6,0
2018-Apr-7,1
2018-Apr-8,0
2018-Apr-9,1.2
2018-Apr-10,7
2018-Apr-11,0.4
2018-Apr-12,1
2018-Apr-13,0
2018-Apr-14,2
2018-Apr-15,0.4
2018-Apr-16,14
2018-Apr-17,52
2018-Apr-18,14
2018-Apr-19,16
2018-Apr-20,0
2018-Apr-21,0
2018-Apr-22,0
2018-Apr-23,1
2018-Apr-24,0
2018-Apr-25,0
2018-Apr-26,0
2018-Apr-27,0
2018-Apr-28,0
2018-Apr-29,10
2018-Apr-30,5
2018-May-1,4
2018-May-2,28
2018-May-3,4
2018-May-4,0.6
2018-May-5,0
2018-May-6,16
2018-May-7,9
2018-May-8,1.4
2018-May-9,3
2018-May-10,0.6
2018-May-11,0
2018-May-12,0
2018-May-13,0
2018-May-14,0
2018-May-15,0
2018-May-16,0
2018-May-17,4
2018-May-18,1.2
2018-May-19,1
2018-May-20,22
2018-May-21,10
